       Field	   Intensity
        [mT]	         [ ]
     149.250	 -1.5046e+03
     149.500	 -1.2803e+03
     149.750	 -1.2901e+02
     150.000	  1.1168e+03
     150.250	  1.8292e+03
     150.500	  1.8816e+03
     150.750	  1.5406e+03
     151.000	  1.4517e+03
     151.250	  1.9287e+03
     151.500	  2.6181e+03
     151.750	  3.1548e+03
     152.000	  3.7139e+03
     152.250	  4.0017e+03
     152.500	  3.0279e+03
     152.750	  1.3977e+03
     153.000	  7.8449e+02
     153.250	  1.0926e+03
     153.500	  1.5229e+03
     153.750	  2.2906e+03
     154.000	  3.3584e+03
     154.250	  4.0004e+03
     154.500	  3.9706e+03
     154.750	  3.3180e+03
     155.000	  2.2444e+03
     155.250	  1.7407e+03
     155.500	  1.9677e+03
     155.750	  1.9819e+03
     156.000	  1.9893e+03
     156.250	  2.7562e+03
     156.500	  3.9024e+03
     156.750	  4.1871e+03
     157.000	  3.4711e+03
     157.250	  3.2534e+03
     157.500	  3.5309e+03
     157.750	  2.7047e+03
     158.000	  1.2412e+03
     158.250	  5.0455e+02
     158.500	  1.1899e+02
     158.750	 -2.7488e+02
     159.000	 -1.8070e+01
     159.250	  9.4568e+02
     159.500	  1.5553e+03
     159.750	  1.2356e+03
     160.000	  7.8930e+02
     160.250	  7.5774e+02
     160.500	  8.8637e+02
     160.750	  1.2739e+03
     161.000	  1.8982e+03
     161.250	  2.0593e+03
     161.500	  1.4499e+03
     161.750	  5.6549e+02
     162.000	  4.4055e+01
     162.250	  3.2367e+01
     162.500	  1.3430e+02
     162.750	  3.1793e+02
     163.000	  6.4780e+02
     163.250	  1.2249e+03
     163.500	  2.6499e+03
     163.750	  4.2520e+03
     164.000	  4.6624e+03
     164.250	  4.0639e+03
     164.500	  3.0391e+03
     164.750	  1.7305e+03
     165.000	  7.6005e+02
     165.250	  4.2618e+02
     165.500	  1.7137e+02
     165.750	 -8.5758e+01
     166.000	 -9.2383e+01
     166.250	  3.0868e+02
     166.500	  1.3200e+03
     166.750	  2.3535e+03
     167.000	  2.9381e+03
     167.250	  3.9181e+03
     167.500	  5.0966e+03
     167.750	  4.7957e+03
     168.000	  3.4764e+03
     168.250	  2.9486e+03
     168.500	  3.0441e+03
     168.750	  2.6289e+03
     169.000	  1.7546e+03
     169.250	  1.9098e+03
     169.500	  3.0196e+03
     169.750	  2.8657e+03
     170.000	  1.8586e+03
     170.250	  1.8041e+03
     170.500	  2.1248e+03
     170.750	  2.1544e+03
     171.000	  2.0367e+03
     171.250	  1.5612e+03
     171.500	  1.1024e+03
     171.750	  1.4124e+03
     172.000	  2.0270e+03
     172.250	  1.9044e+03
     172.500	  1.0568e+03
     172.750	  5.4255e+02
     173.000	  8.0793e+02
     173.250	  1.0142e+03
     173.500	  9.4068e+02
     173.750	  1.0522e+03
     174.000	  1.3747e+03
     174.250	  1.9562e+03
     174.500	  2.6294e+03
     174.750	  2.7316e+03
     175.000	  1.9409e+03
     175.250	  1.0965e+03
     175.500	  7.1149e+02
     175.750	  4.0555e+01
     176.000	 -7.0738e+02
     176.250	 -6.2520e+02
     176.500	  8.3867e+01
     176.750	  7.3868e+02
     177.000	  1.3684e+03
     177.250	  2.6278e+03
     177.500	  4.1986e+03
     177.750	  4.9292e+03
     178.000	  4.6030e+03
     178.250	  3.5439e+03
     178.500	  2.0913e+03
     178.750	  1.0279e+03
     179.000	  1.1124e+03
     179.250	  2.2342e+03
     179.500	  3.2766e+03
     179.750	  3.3451e+03
     180.000	  2.5879e+03
     180.250	  1.8589e+03
     180.500	  2.2459e+03
     180.750	  3.1236e+03
     181.000	  2.3539e+03
     181.250	  4.9112e+02
     181.500	  2.0805e+02
     181.750	  1.5902e+03
     182.000	  2.7591e+03
     182.250	  3.1861e+03
     182.500	  3.3081e+03
     182.750	  2.9044e+03
     183.000	  1.9002e+03
     183.250	  9.6330e+02
     183.500	  3.0024e+02
     183.750	 -3.2082e+02
     184.000	 -6.6801e+02
     184.250	 -3.6401e+02
     184.500	  6.6787e+02
     184.750	  1.8113e+03
     185.000	  1.8954e+03
     185.250	  1.1246e+03
     185.500	  9.6549e+02
     185.750	  1.7579e+03
     186.000	  2.4664e+03
     186.250	  2.1498e+03
     186.500	  1.4075e+03
     186.750	  1.3556e+03
     187.000	  1.6212e+03
     187.250	  1.5376e+03
     187.500	  1.0749e+03
     187.750	  4.2374e+02
     188.000	  2.7849e+02
     188.250	  5.2730e+02
     188.500	  1.3055e+02
     188.750	 -2.0276e+02
     189.000	  9.3937e+02
     189.250	  2.1594e+03
     189.500	  1.5176e+03
     189.750	  4.2762e+02
     190.000	  9.7968e+02
     190.250	  2.2324e+03
     190.500	  2.1064e+03
     190.750	  9.8662e+02
     191.000	  6.0205e+02
     191.250	  6.7380e+02
     191.500	  8.2492e+01
     191.750	 -3.6057e+02
     192.000	  6.3412e+02
     192.250	  2.1772e+03
     192.500	  2.8819e+03
     192.750	  3.0741e+03
     193.000	  3.3936e+03
     193.250	  3.4512e+03
