Lu_2uM_1cm,,Lu_2uM_1cm1,,Lu_5uM_1cm,,Lu_10uM_1cm,,Lu_20uM_1cm,,Lu_50uM_1cm,,Lu_100uM_1mm,,Lu_200uM_1mm,,Lu_500uM_1mm,,Lu_1mM_1mm,,Cell1 Blank,,Lu_2mM_100um,,Lu_5mM_100um,,Lu_10mM_100um,,Lu_20mM_100um,,Lu_30mM_100um,,Lu_50mM_10um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
560,0.001867826446,560,0.002077365061,560,0.00283669075,560,0.00127455208,560,0.001956097083,560,0.0007798415027,560,-0.0003090202808,560,-0.002320266329,560,0.00197611982,560,0.001149225398,560,0.0009486429626,560,-0.0005413522595,560,8.636417624E-5,560,-0.0009157078457,560,-0.00216631731,560,-0.00350676151,560,-0.003150618635,
559,0.001922216732,559,0.0021510839,559,0.002818478271,559,0.001244463143,559,0.001922164694,559,0.0009275262128,559,-0.0004181676486,559,-0.002573192818,559,0.001759560197,559,0.001196906553,559,0.001052010455,559,-0.0004274775274,559,-1.28392503E-5,559,-0.00118303264,559,-0.002339937491,559,-0.003571259324,559,-0.003415390383,
558,0.00193144707,558,0.00198589731,558,0.002714845818,558,0.001214480028,558,0.001747032744,558,0.0008128807531,558,-0.0003399050329,558,-0.002282878617,558,0.002003112808,558,0.00130853767,558,0.001100122114,558,-0.000500656548,558,-0.0001215434968,558,-0.001111001358,558,-0.002346837427,558,-0.003494333243,558,-0.003492022166,
557,0.001940001617,557,0.002091228729,557,0.002793388441,557,0.001303033321,557,0.001907942467,557,0.0006233152817,557,-0.0002546950127,557,-0.00244358182,557,0.001934489235,557,0.001304279664,557,0.001006991719,557,-0.0005090338527,557,2.974399649E-5,557,-0.001039371244,557,-0.002277522581,557,-0.003491765587,557,-0.003318554023,
556,0.001937583438,556,0.002174055437,556,0.002754362766,556,0.001358884969,556,0.001862990903,556,0.0008444441482,556,-0.0004527683486,556,-0.002371244365,556,0.0020924774,556,0.001224681851,556,0.001097578905,556,-0.0005600699224,556,-3.416813342E-5,556,-0.001076143119,556,-0.002424481791,556,-0.003674815875,556,-0.003375476925,
555,0.002105535008,555,0.002126709092,555,0.002765747253,555,0.001210300718,555,0.001870972221,555,0.0008589428035,555,-0.0001354142732,555,-0.002168635372,555,0.002109436784,555,0.001685154159,555,0.001143255853,555,-0.0004493032175,555,-0.0002042957785,555,-0.0009835875826,555,-0.002493258798,555,-0.003617059439,555,-0.003066935111,
554,0.002029301133,554,0.002251563594,554,0.002760953736,554,0.001330400002,554,0.001923854812,554,0.001097786473,554,-0.0003933920234,554,-0.002380667021,554,0.001969046658,554,0.001316223177,554,0.001155999606,554,-0.0005410420126,554,-2.184720688E-5,554,-0.001008122927,554,-0.002509112936,554,-0.003583480138,554,-0.002845260315,
553,0.002069718204,553,0.002363310196,553,0.003039502772,553,0.001354262815,553,0.001975495601,553,0.0009866504697,553,-0.0003192636941,553,-0.002461651573,553,0.002088003326,553,0.001595067908,553,0.001095347106,553,-0.0004005300289,553,5.115368549E-5,553,-0.0008436321514,553,-0.002303529764,553,-0.00343439565,553,-0.002626457019,
552,0.001878069597,552,0.002023865702,552,0.002798963804,552,0.001219775644,552,0.001805826789,552,0.0008963458822,552,-0.0001478872437,552,-0.002211596118,552,0.002204260789,552,0.001746616792,552,0.001099447371,552,-0.0004194606736,552,3.996977466E-5,552,-0.0009327045991,552,-0.002184295328,552,-0.003542965744,552,-0.002318051877,
551,0.002000278095,551,0.002259317786,551,0.002768821316,551,0.001243113191,551,0.001938623493,551,0.001087509794,551,-0.0004844186187,551,-0.002416759264,551,0.00202129106,551,0.001541420002,551,0.001154935453,551,-0.0006244381657,551,-4.395215001E-5,551,-0.0008647652576,551,-0.002336229896,551,-0.003581118071,551,-0.00234395382,
