Cell1 Blank,,Gd_100mM_1_1,,Gd_100mM_1_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
478,-0.01048326399,478,0.006474236026,478,0.004775431473,
477,-0.01071966346,477,0.006698837969,477,0.004782786127,
476,-0.01039547194,476,0.00634745229,476,0.004475340713,
475,-0.01070173178,475,0.006290824153,475,0.004754389636,
474,-0.01065172255,474,0.005900695454,474,0.004623659421,
473,-0.01082531642,473,0.005551003385,473,0.004694331903,
472,-0.01085879467,472,0.00527269952,472,0.004842149559,
471,-0.01102322154,471,0.005277390126,471,0.004930817522,
470,-0.01082556881,470,0.005241991952,470,0.004954224452,
469,-0.01062843297,469,0.005330898799,469,0.004508818965,
468,-0.01111179497,468,0.006090531126,468,0.004821916111,
467,-0.01130250748,467,0.006531308405,467,0.004776086193,
466,-0.01107172482,466,0.006288093049,466,0.004760880023,
465,-0.01120827161,465,0.006741769146,465,0.005004995968,
464,-0.01125781331,464,0.006812628824,464,0.004811262712,
463,-0.01111386344,463,0.006047927309,463,0.004720264114,
462,-0.01096754428,462,0.005543557461,462,0.004841443151,
461,-0.01124182157,461,0.005996009801,461,0.005006253254,
460,-0.01105517056,460,0.005365648773,460,0.004733401351,
459,-0.01095891185,459,0.005376393907,459,0.004904636648,
458,-0.01124807727,458,0.006114499643,458,0.005194729194,
457,-0.01133388095,457,0.006620242726,457,0.004946500529,
456,-0.01079587545,456,0.006181554869,456,0.004620023072,
455,-0.01104376372,455,0.006836163811,455,0.0051658866,
454,-0.01098692883,454,0.006857359316,454,0.00495773321,
453,-0.01080895495,453,0.006245495752,453,0.005116772372,
452,-0.01107253227,452,0.006259309128,452,0.005632578395,
451,-0.01106657647,451,0.006365078036,451,0.005639606155,
450,-0.01091488916,450,0.006093970034,450,0.005365491379,
449,-0.01096774638,449,0.006412809715,449,0.005829459522,
448,-0.01101459004,448,0.006825224496,448,0.005840635858,
447,-0.010861421,447,0.007133365143,447,0.00576258963,
446,-0.01110044029,446,0.007641956676,446,0.00627758773,
445,-0.01086399611,445,0.007986797951,445,0.006350394338,
444,-0.01126381662,444,0.008451332338,444,0.00677999761,
443,-0.01087954734,443,0.007904173806,443,0.006644661073,
442,-0.01095780171,442,0.007752701174,442,0.007212974131,
441,-0.01112501603,441,0.007861839607,441,0.007285148371,
440,-0.01111290511,440,0.007831949741,440,0.007647015154,
439,-0.01067309082,439,0.007966917939,439,0.007614795584,
438,-0.01089272555,438,0.009163357317,438,0.008500429802,
437,-0.01093533635,437,0.00992612727,437,0.008517641574,
436,-0.01078966353,436,0.0100961104,436,0.00880471617,
435,-0.01074708905,435,0.01078958251,435,0.009411151521,
434,-0.01106551662,434,0.01116213761,434,0.009879649617,
433,-0.01070996467,433,0.01088382583,433,0.009954969399,
432,-0.01086990349,432,0.01091384701,432,0.01089285035,
431,-0.01121619251,431,0.01151672471,431,0.01153363101,
430,-0.01100580674,430,0.01174067892,430,0.01200181711,
429,-0.01086434908,429,0.01263024565,429,0.01287490688,
428,-0.01090772077,428,0.01376765594,428,0.01364174485,
427,-0.01113510877,427,0.01493661292,427,0.01471751183,
426,-0.01082814392,426,0.0155799035,426,0.01537080295,
425,-0.01086975168,425,0.01657310501,425,0.01639911532,
424,-0.01096385904,424,0.01748648658,424,0.01746398397,
423,-0.01094745286,423,0.01803889871,423,0.01857548021,
422,-0.01071420778,422,0.01861987077,422,0.020031441,
421,-0.01122027915,421,0.02071336098,421,0.02197946794,
420,-0.01128394436,420,0.02221327089,420,0.02357571945,
419,-0.01085021067,419,0.02368013188,419,0.02542069368,
418,-0.01137377601,418,0.02644644864,418,0.02788342722,
417,-0.01114439312,417,0.02831014991,417,0.02970572375,
416,-0.0111146709,416,0.03023635782,416,0.03240704536,
415,-0.01128061488,415,0.03258226812,415,0.03532773629,
414,-0.01141084265,414,0.03549624979,414,0.03891834617,
413,-0.01098617166,413,0.03816051036,413,0.0426197201,
412,-0.01112077758,412,0.04203895479,412,0.0472381115,
411,-0.01129948068,411,0.04726480693,411,0.05218590796,
410,-0.01138275303,410,0.05181737989,410,0.05768491328,
409,-0.01115897577,409,0.05715588108,409,0.06388034672,
408,-0.01143358648,408,0.0634149164,408,0.07142451406,
407,-0.01143404003,407,0.07045722008,407,0.07960208505,
406,-0.0110401297,406,0.07761771232,406,0.08900997043,
405,-0.01129277144,405,0.08679667115,405,0.100266926,
404,-0.01129176281,404,0.09755397588,404,0.1126416922,
403,-0.01141815539,403,0.1101756319,403,0.1269649118,
402,-0.01128853485,402,0.124482207,402,0.1437570304,
401,-0.01146701723,401,0.1411222965,401,0.1629026085,
400,-0.01159789599,400,0.1599489599,400,0.1844818741,
399,-0.01132550836,399,0.1803592592,399,0.209257111,
398,-0.006886740681,398,0.215633288,398,0.2589167058,
397,-0.007143897936,397,0.2396732271,397,0.2849447727,
396,-0.007608818822,396,0.2720153332,396,0.3225760162,
395,-0.004791163839,395,0.3037199676,395,0.3646454215,
394,-0.005850049201,394,0.3414372206,394,0.4101516604,
393,-0.005578017794,393,0.3779437244,393,0.4564020336,
